id,dataset_source,clarity_tier,run,expected_service,expected_kpi_type,n_expected,n_extracted,n_true_positive,n_false_positive,n_false_negative,service_correct,kpi_type_correct,comparator_correct,value_correct,unit_correct,exact_match,error_category,necessity_status,decision_kind,elapsed_s
enact-206,clarity_spectrum,2,1,F2-v2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.16
enact-206,clarity_spectrum,2,2,F2-v2,energy,1,0,0,0,1,False,False,False,False,False,False,sous_extraction,no_action_needed,no_change,1.03
enact-206,clarity_spectrum,2,3,F2-v2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.02
enact-207,clarity_spectrum,2,1,C2-v2,network_out,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-207,clarity_spectrum,2,2,C2-v2,network_out,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.95
enact-207,clarity_spectrum,2,3,C2-v2,network_out,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-208,clarity_spectrum,2,1,P1,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-208,clarity_spectrum,2,2,P1,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-208,clarity_spectrum,2,3,P1,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.11
enact-209,clarity_spectrum,3,1,C1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.43
enact-209,clarity_spectrum,3,2,C1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.62
enact-209,clarity_spectrum,3,3,C1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.32
enact-210,clarity_spectrum,3,1,F2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.61
enact-210,clarity_spectrum,3,2,F2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.32
enact-210,clarity_spectrum,3,3,F2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.33
enact-211,clarity_spectrum,3,1,C2,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-211,clarity_spectrum,3,2,C2,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.33
enact-211,clarity_spectrum,3,3,C2,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.33
enact-212,clarity_spectrum,3,1,F1,network_in,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.33
enact-212,clarity_spectrum,3,2,F1,network_in,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.91
enact-212,clarity_spectrum,3,3,F1,network_in,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.36
enact-213,clarity_spectrum,4,1,P1,energy,1,2,1,1,0,True,True,True,True,True,False,sur_extraction,no_action_needed,no_change,1.59
enact-213,clarity_spectrum,4,2,P1,energy,1,2,1,1,0,True,True,True,True,True,False,sur_extraction,no_action_needed,no_change,1.28
enact-213,clarity_spectrum,4,3,P1,energy,1,2,1,1,0,True,True,True,True,True,False,sur_extraction,no_action_needed,no_change,1.54
enact-214,clarity_spectrum,4,1,C2-v2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-214,clarity_spectrum,4,2,C2-v2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.29
enact-214,clarity_spectrum,4,3,C2-v2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.17
enact-215,clarity_spectrum,4,1,F2-v2,network_out,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.33
enact-215,clarity_spectrum,4,2,F2-v2,network_out,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.33
enact-215,clarity_spectrum,4,3,F2-v2,network_out,1,1,0,0,1,False,True,True,True,True,False,confusion_service,no_action_needed,no_change,1.33
enact-216,clarity_spectrum,4,1,F1,storage,1,0,0,0,1,False,False,False,False,False,False,sous_extraction,no_action_needed,no_change,1.09
enact-216,clarity_spectrum,4,2,F1,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.46
enact-216,clarity_spectrum,4,3,F1,storage,1,0,0,0,1,False,False,False,False,False,False,sous_extraction,no_action_needed,no_change,1.13
enact-217,clarity_spectrum,5,1,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.66
enact-217,clarity_spectrum,5,2,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.11
enact-217,clarity_spectrum,5,3,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,3.89
enact-218,clarity_spectrum,5,1,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.06
enact-218,clarity_spectrum,5,2,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.09
enact-218,clarity_spectrum,5,3,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.13
enact-219,clarity_spectrum,5,1,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.11
enact-219,clarity_spectrum,5,2,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.78
enact-219,clarity_spectrum,5,3,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.04
enact-220,clarity_spectrum,5,1,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.29
enact-220,clarity_spectrum,5,2,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,1.02
enact-220,clarity_spectrum,5,3,,,0,0,0,0,0,,,,,,True,ok,no_action_needed,no_change,0.92
